	TCGA-S3-AA0Z-01	TCGA-S3-A6ZH-01	TCGA-S3-A6ZF-01	TCGA-S3-AA11-01	TCGA-S3-AA14-01	TCGA-S3-AA15-01	TCGA-S3-AA10-01	TCGA-S3-A6ZG-01	TCGA-S3-AA17-01	TCGA-S3-AA12-01
LOC645431	35	98	76	171	73	160	39	108	120	61
LOC645676	228	295	118	130	73	95	55	178	234	71
LOC645752	2	0	4	1	1	4	1	3	1	0
LOC646214	380	352	475	305	208	170	174	414	151	173
LOC646471	298	166	186	422	270	136	98	415	191	214
LOC646498	0	0	0	0	0	0	0	0	0	0
LOC646627	0	0	0	0	0	0	1	0	1	0
LOC646762	702	693	868	695	527	272	722	1006	848	798
LOC646813	0	0	0	0	0	0	0	0	0	0
LOC646851	1380	224	229	728	245	70	99	1111	319	260
LOC646982	4	0	3	2	3	7	0	5	4	0
LOC646999	11	97	17	28	58	14	44	61	13	5
LOC647121	184	71	96	176	36	101	268	102	286	105
LOC647288	34	22	28	14	24	13	7	41	7	19
LOC647309	0	0	0	0	0	0	0	0	1	0
LOC647859	23	24	14	149	5	1	1	96	40	7
LOC647946	270	204	41	20	0	5	81	107	91	51
LOC647979	24059	30056	57468	15623	17181	6788	10992	56707	18550	17974
LOC648691	0	0	4	0	0	0	0	0	1	0
LOC648740	9	33	7	45	45	14	32	40	49	5
LOC649330	25	86	62	40	16	10	36	61	27	25
LOC650293	0	0	0	0	0	0	0	0	0	0
LOC650368	63	81	59	37	77	138	21	94	37	36
LOC650623	646	82	92	113	246	114	203	345	119	63
LOC651250	4954	3891	5203	2765	2241	2460	2619	5835	3614	1914
LOC652276	78	111	140	102	108	51	74	532	233	132
LOC653113	162	267	100	234	113	65	53	249	78	100
LOC653501	750	323	685	456	225	172	334	768	287	117
LOC653544	0	0	0	0	0	0	0	0	0	3
LOC653545	0	0	0	0	0	0	0	0	0	0
LOC653566	3517	3648	7936	3159	2926	3905	3480	2887	6610	2709
LOC653653	337	240	144	98	100	176	197	223	205	65
LOC653786	8	5	13	8	6	12	5	24	10	4
LOC654342	338	334	329	602	524	434	334	625	524	523
LOC654433	53	81	5	42	55	108	91	4	834	18
LOC678655	1190	1402	1293	1322	484	841	846	1794	1252	726
LOC723809	2	0	2	2	0	0	1	0	2	2
LOC723972	24	40	55	22	8	12	17	43	9	43
LOC727677	0	0	0	0	1	0	0	0	0	0
LOC727896	63	69	97	52	33	46	101	260	27	18
LOC727924	0	0	0	0	0	0	0	0	0	0
LOC728024	74	122	711	20	38	17	56	74	32	75
LOC728190	10	401	726	203	266	364	526	450	576	389
LOC728264	155	222	281	942	795	927	216	419	130	46
LOC728276	0	0	0	1	0	0	0	1	0	0
LOC728323	134	109	115	174	55	24	162	177	84	35
LOC728392	183	96	190	128	234	293	586	168	151	53
LOC728410	0	0	0	0	0	0	0	0	0	0
LOC728554	994	1663	1267	1043	352	258	564	1663	158	314
LOC728606	34	18	4	38	651	1	0	1097	4	110
LOC728613	376	322	363	450	129	102	76	679	548	386
LOC728640	40	170	184	169	74	58	76	136	69	118
LOC728643	130	240	198	134	125	123	363	347	141	121
LOC728723	59	21	68	34	11	9	8	24	34	11
LOC728743	258	446	408	516	254	545	459	529	661	364
LOC728758	157	137	79	108	100	89	104	156	121	86
LOC728819	96	18	20	36	20	33	18	17	2	21
LOC728855	1417	73	1449	2199	1085	383	836	166	260	265
LOC728875	313	15	144	449	261	151	381	46	41	20
LOC728989	12	2	14	28	22	42	14	13	30	3
LOC729020	100	116	112	59	33	60	102	94	83	84
LOC729082	2323	1985	1052	674	769	594	763	1199	768	333
LOC729121	0	0	0	0	0	0	0	0	0	0
LOC729156	3	20	6	4	2	4	3	7	0	17
