	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
PKDCC	574	70	64	48	24	89	280	192	138	247	167	277	639	194
PKDREJ	57	33	12	166	39	28	20	16	10	53	32	18	45	30
PKHD1L1	63	7	6	10	26	7	79	5	25	23	3	7	8	105
PKHD1	367	3	11	6	452	74	3	0	13	59	104	41	26	5
PKIA	553	1087	112	2927	3237	79	19	819	83	144	1268	158	141	206
PKIB	680	463	1746	86	92	693	11781	3014	653	1546	1942	4917	2479	4091
PKIG	657	1144	1830	627	1998	724	501	2643	2412	1468	1111	1970	1060	3549
PKLR	6	3	0	0	0	0	1	1	3	5	2	4	3	0
PKM2	72761	22812	91908	121761	77428	28752	87570	74388	47773	77566	61910	42091	73224	73702
PKMYT1	1426	268	1083	1875	1165	718	717	1412	1308	1215	314	298	2497	1320
PKN1	13511	2878	15859	7237	13347	5661	9028	10507	7621	6935	7247	4904	6557	6014
PKN2	3640	3148	3439	6933	3193	1623	2102	2583	2787	3217	2923	5256	4185	4156
PKN3	225	591	304	1099	754	298	863	315	517	637	299	561	1849	651
PKNOX1	1751	1191	1473	1757	3229	1139	842	1426	1270	1774	1538	1544	1890	972
PKNOX2	62	19	10	21	2103	18	9	10	14	25	19	87	23	36
PKP1	29711	8821	1255	145	5600	2915	176	585	320	1693	467	979	700	949
PKP2	1523	2972	3269	4272	1611	685	1884	1195	963	2312	2584	2089	1861	3039
PKP3	3636	2085	6988	1936	4005	2538	3656	4612	4732	3585	3512	4053	4955	3673
PKP4	9859	7092	5380	11951	7672	7285	4320	5204	12354	11682	4626	8574	7757	6941
PL-5283	6075	3365	4685	7334	7279	4442	3437	3411	4108	3795	5659	4256	4101	2895
PLA1A	70	19	58	45	26	248	82	113	120	111	25	332	122	149
PLA2G10	4	2	361	3	13	65	64	796	25	190	6	121	20	126
PLA2G12A	1798	2444	5726	10521	4132	2969	5101	2330	3417	3526	3726	4951	1824	5111
PLA2G12B	1	0	0	2	0	0	0	0	0	0	0	0	0	0
PLA2G15	1675	1155	1840	1987	683	941	1580	1822	1422	1194	1946	1650	2382	1430
PLA2G16	571	1468	3190	75	186	3289	2139	2710	8811	1906	3932	2513	7175	2674
PLA2G1B	2	0	1	3	0	8	0	0	1	1	0	14	1	4
PLA2G2A	46	40	55	59	10	1447	227	5	52	1109	182	145	6976	774
PLA2G2C	0	0	0	0	0	2	1	0	0	0	0	0	0	0
PLA2G2D	143	1	5	55	15	258	23	215	85	33	29	123	87	70
PLA2G2E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2F	0	0	0	0	1	0	0	0	0	1	0	0	0	0
PLA2G3	238	4	2	14	143	263	1	0	0	43	104	2	196	3
PLA2G4A	364	192	166	943	18	62	75	161	95	202	204	197	204	74
PLA2G4C	353	35	434	88	603	474	107	272	263	200	102	349	289	331
PLA2G4D	98	1	1	194	360	1	8	0	1	5	1	6	22	5
PLA2G4E	0	0	0	3	7	0	0	0	0	0	26	0	11	0
PLA2G4F	2	226	258	1	53	217	640	1339	345	96	183	462	282	113
PLA2G5	36	4	71	12	10	19	11	12	27	16	86	36	140	25
PLA2G6	743	744	332	450	1052	576	365	382	623	346	204	373	629	263
PLA2G7	755	39	70	321	367	166	144	457	71	107	84	298	280	64
PLA2R1	148	1216	1361	116	239	492	1109	876	659	1351	2169	1347	1512	506
PLAA	3159	2220	3249	2393	5966	1969	2855	3358	2538	2952	2437	3834	3596	3155
PLAC1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAC1	8	0	328	9	15	51	735	32	6	146	338	46	61	23
PLAC2	86	77	4269	157	416	962	1065	1196	10605	71	68	219	919	5649
PLAC4	19	4	1	19	20	39	2	5	3	13	3	6	3	9
PLAC8L1	1	4	4	3	7	0	0	2	2	0	0	1	0	3
PLAC8	102	9	14	26	22	75	16	54	79	48	19	90	105	42
PLAC9	122	58	108	7	41	128	188	115	191	244	167	224	312	413
PLAG1	69	36	28	30	74	42	6	53	114	41	58	50	40	32
PLAGL1	768	1140	488	1076	379	336	119	425	326	522	731	523	782	289
PLAGL2	2153	1721	1405	8812	1899	2063	1128	2755	1576	2177	1315	2471	2865	1378
PLAT	3806	10164	29314	466	1511	3797	8532	16234	4631	4428	10441	24115	8796	38042
PLAUR	3957	125	4119	3221	1441	481	1732	2098	1169	942	3345	1666	5258	488
PLAU	2439	663	17126	1391	4432	623	944	5876	4296	3152	6686	5583	20439	2058
PLB1	55	58	363	14	28	58	117	110	103	79	142	105	224	22
PLBD1	4559	1492	613	2960	1160	3431	595	3698	1382	1736	2846	4118	1941	1439
PLBD2	1619	2159	3133	2025	1459	1401	2159	4157	2278	1879	4824	3151	3986	2504
PLCB1	376	3155	381	247	579	932	345	1740	4422	967	242	2048	1692	4615
PLCB2	776	146	717	309	223	406	358	1094	462	332	514	375	710	181
PLCB3	3445	1187	4799	1951	3163	1637	2241	4297	4081	1534	2237	1986	5321	1139
PLCB4	1827	978	2575	3101	3629	717	1391	277	1155	709	789	621	1637	182
PLCD1	318	942	1539	1668	397	642	1151	869	1033	1563	1072	1036	1652	818
PLCD3	951	1815	2609	942	538	2241	1826	2299	2694	2884	4310	1938	1218	3608
PLCD4	164	182	204	192	101	278	745	309	320	617	157	286	281	130
PLCE1	1059	2707	582	219	299	4504	124	2216	4489	346	414	419	260	221
PLCG1	4743	5448	4387	8008	7619	3550	2075	3897	4232	4781	3705	5095	8104	8693
PLCG2	2277	844	883	1289	1632	799	532	770	1040	841	715	1198	841	846
PLCH1	435	2435	11	9969	286	18	8	117	730	201	271	433	2762	85
PLCH2	133	2068	140	24	482	164	47	124	474	319	120	337	336	133
PLCL1	619	2398	3823	1413	4801	796	276	2200	940	587	332	341	478	896
PLCL2	465	502	439	2105	962	384	690	633	500	451	611	455	799	312
PLCXD1	567	659	900	7045	3871	428	372	1071	367	408	148	230	766	543
PLCXD2	72	43	28	556	203	72	46	140	30	30	91	49	274	23
PLCXD3	59	56	26	6	269	320	95	35	58	129	6	186	10	244
PLCZ1	0	10	0	0	0	0	0	0	0	0	0	2	1	0
PLD1	1460	1928	1139	428	392	357	521	886	814	840	1828	814	1969	644
PLD2	2061	2686	2544	1109	1029	2394	1179	2435	2260	2179	1585	1579	1698	1355
PLD3	10762	22076	9936	21632	5166	10389	15112	10396	13057	10095	10548	9435	11402	9099
PLD4	195	161	1080	13	3	230	324	441	538	314	1005	307	527	203
PLD5	50	490	3	1	128	5	14	1	4	28	12	14	6	7
PLD6	389	243	306	557	1572	299	19	602	506	210	102	303	153	343
PLDN	2703	3194	4799	2895	2943	2400	3330	4170	2482	3865	4800	4335	3222	3529
PLEC	16141	15316	41979	4527	14666	18437	19245	45766	58624	34415	56768	29923	34490	50177
PLEK2	868	172	690	56	1462	288	488	571	448	352	245	507	905	252
