	TCGA-OL-A5RW-01	TCGA-OL-A5RX-01	TCGA-OL-A6VR-01	TCGA-OL-A5S0-01	TCGA-OL-A5RV-01	TCGA-OL-A66O-01	TCGA-OL-A5RZ-01	TCGA-OL-A66P-01	TCGA-OL-A66J-01	TCGA-OL-A66H-01	TCGA-OL-A97C-01	TCGA-OL-A66L-01	TCGA-OL-A66N-01	TCGA-OL-A66I-01	TCGA-OL-A5D7-01	TCGA-OL-A6VO-01	TCGA-OL-A5DA-01	TCGA-OL-A5D8-01	TCGA-OL-A5RU-01	TCGA-OL-A5D6-01	TCGA-OL-A6VQ-01	TCGA-OL-A66K-01	TCGA-OL-A5RY-01
COL19A1	3	10	0	1	10	0	0	1	0	37	1	1	0	7	5	3	2	0	13	1	0	0	36
COL1A1	137181	161489	25159	187963	149188	322564	62576	324436	277188	174938	540899	463238	786040	353752	58481	74320	259979	200806	100146	593428	224054	604437	295074
COL1A2	84984	98832	19996	123850	85477	190379	38573	169238	175945	104867	749219	252218	431607	239269	27489	46612	143609	103509	73785	311404	135357	393150	195787
COL20A1	76	1	0	0	0	1	0	0	0	1	0	0	0	2	3	0	1	3	0	0	2	0	0
COL21A1	26	66	59	188	69	469	46	36	42	262	165	89	287	15	2	19	46	61	47	26	36	274	360
COL22A1	200	110	19	3662	36	22	33	13	47	14	914	222	8	4356	2063	122	60	95	48	136	25	103	39
COL23A1	111	97	100	89	105	30	23	105	96	49	436	64	134	430	628	51	48	28	36	126	17	42	35
COL24A1	34	92	99	49	99	86	51	51	111	93	394	27	55	47	12	27	87	53	172	65	36	146	94
COL25A1	6	28	20	11	27	10	43	7	26	3	458	11	9	10	3	12	11	14	12	9	13	13	3
COL27A1	208	1482	1300	543	1791	348	192	25	618	103	2062	276	802	2932	3705	6322	865	596	771	97	1141	572	208
COL28A1	42	35	40	14	45	27	149	11	16	19	20	4	65	11	1	13	95	28	121	41	15	38	12
COL29A1	2	7	0	0	3	1	0	22	0	0	0	1	5	0	9	1	3	1	11	1	1	2	46
COL2A1	25	69	681	53420	294	22204	12323	5	0	0	2291	39	5121	7	2	281	1896	20	18	34	30	3	20
COL3A1	62936	111732	18266	120012	96724	138170	34589	135726	137488	91295	516863	169902	317156	192791	26679	55281	107075	82908	63851	282924	159067	330365	241120
COL4A1	4415	15007	5977	14908	9745	6386	9831	8547	25390	19658	39453	7544	5824	44208	9139	15421	12891	19852	5305	40837	6267	11741	15158
COL4A2	7518	18000	8669	20370	14840	9786	10041	12735	27497	22878	62206	13454	11159	76163	16858	17124	13691	21095	8098	42509	6968	12454	16082
